stop_id,stop_name,stop_lat,stop_lon,hour,day_of_week,is_rush_hour,is_weekend,crowd_level_code,crowd_level
36667,CS-GBJ Colony Gate Doddanekkundi,12.95746,77.69136,22,3,0,0,1,Medium
36667,CS-GBJ Colony Gate Doddanekkundi,12.95746,77.69136,11,2,0,0,1,Medium
36667,CS-GBJ Colony Gate Doddanekkundi,12.95746,77.69136,22,5,0,1,0,Low
35272,Jakkur 18th Cross,13.06885,77.60338,6,3,0,0,0,Low
35272,Jakkur 18th Cross,13.06885,77.60338,6,2,0,0,0,Low
35272,Jakkur 18th Cross,13.06885,77.60338,8,5,1,1,0,Low
21051,Navarang Theatre,12.99791,77.55159,7,6,1,1,0,Low
21051,Navarang Theatre,12.99791,77.55159,22,0,0,0,0,Low
21051,Navarang Theatre,12.99791,77.55159,12,4,0,0,0,Low
34104,Narayana Nagara Cross,12.87999,77.55341,18,3,1,0,3,Very High
34104,Narayana Nagara Cross,12.87999,77.55341,9,4,1,0,2,High
34104,Narayana Nagara Cross,12.87999,77.55341,13,5,0,1,0,Low
21576,Muthyalanagara Cross,13.04362,77.55315,17,2,1,0,2,High
21576,Muthyalanagara Cross,13.04362,77.55315,7,6,1,1,1,Medium
21576,Muthyalanagara Cross,13.04362,77.55315,22,3,0,0,0,Low
34098,Narasapura,12.80048,77.80158,16,3,0,0,1,Medium
34098,Narasapura,12.80048,77.80158,13,4,0,0,0,Low
34098,Narasapura,12.80048,77.80158,17,4,1,0,3,Very High
25132,Dombarahalli,13.0491,77.45981,11,4,0,0,0,Low
25132,Dombarahalli,13.0491,77.45981,20,2,0,0,0,Low
25132,Dombarahalli,13.0491,77.45981,13,3,0,0,0,Low
36471,CS-NITTE Meenakshi College,13.13122,77.58986,15,5,0,1,0,Low
36471,CS-NITTE Meenakshi College,13.13122,77.58986,10,1,0,0,1,Medium
36471,CS-NITTE Meenakshi College,13.13122,77.58986,14,3,0,0,1,Medium
28442,Laggere Cross,13.02245,77.5234,6,6,0,1,0,Low
28442,Laggere Cross,13.02245,77.5234,21,0,0,0,1,Medium
28442,Laggere Cross,13.02245,77.5234,21,4,0,0,0,Low
28611,Magadi,12.95484,77.22693,8,3,1,0,3,Very High
28611,Magadi,12.95484,77.22693,10,5,0,1,0,Low
28611,Magadi,12.95484,77.22693,19,3,1,0,2,High
38572,Madapura,12.76542,77.32077,22,5,0,1,0,Low
38572,Madapura,12.76542,77.32077,10,3,0,0,0,Low
38572,Madapura,12.76542,77.32077,21,4,0,0,0,Low
32449,Devanagondi IOC,12.98799,77.83728,6,5,0,1,0,Low
32449,Devanagondi IOC,12.98799,77.83728,15,5,0,1,0,Low
32449,Devanagondi IOC,12.98799,77.83728,7,3,1,0,2,High
22313,Muni Nagara,12.748,77.53652,6,4,0,0,0,Low
22313,Muni Nagara,12.748,77.53652,21,6,0,1,0,Low
22313,Muni Nagara,12.748,77.53652,17,1,1,0,3,Very High
39077,LTG Indraprastha,12.78547,77.44915,6,0,0,0,1,Medium
39077,LTG Indraprastha,12.78547,77.44915,16,4,0,0,1,Medium
39077,LTG Indraprastha,12.78547,77.44915,6,0,0,0,0,Low
28966,MEI Layout,13.06104,77.49947,16,3,0,0,0,Low
28966,MEI Layout,13.06104,77.49947,17,6,1,1,0,Low
28966,MEI Layout,13.06104,77.49947,8,6,1,1,0,Low
21714,Bandapura Gate,13.04174,77.74453,13,4,0,0,1,Medium
21714,Bandapura Gate,13.04174,77.74453,7,2,1,0,2,High
21714,Bandapura Gate,13.04174,77.74453,9,1,1,0,3,Very High
28958,Meesaganahalli,13.16614,77.66896,18,2,1,0,3,Very High
28958,Meesaganahalli,13.16614,77.66896,9,0,1,0,3,Very High
28958,Meesaganahalli,13.16614,77.66896,9,1,1,0,3,Very High
24098,Shirdi Sai Nagara,13.06672,77.63807,8,0,1,0,3,Very High
24098,Shirdi Sai Nagara,13.06672,77.63807,9,1,1,0,2,High
24098,Shirdi Sai Nagara,13.06672,77.63807,10,3,0,0,1,Medium
24584,Chikkammanapalya,12.95033,77.423,18,6,1,1,1,Medium
24584,Chikkammanapalya,12.95033,77.423,14,5,0,1,1,Medium
24584,Chikkammanapalya,12.95033,77.423,21,0,0,0,0,Low
20774,EMC2,12.98256,77.69301,22,3,0,0,0,Low
20774,EMC2,12.98256,77.69301,17,0,1,0,2,High
20774,EMC2,12.98256,77.69301,20,4,0,0,1,Medium
38925,Honnasandra Cross,13.11056,77.44347,17,0,1,0,3,Very High
38925,Honnasandra Cross,13.11056,77.44347,9,4,1,0,3,Very High
38925,Honnasandra Cross,13.11056,77.44347,12,4,0,0,1,Medium
30767,Kannamangala Madhure,13.19653,77.41037,12,5,0,1,0,Low
30767,Kannamangala Madhure,13.19653,77.41037,10,2,0,0,1,Medium
30767,Kannamangala Madhure,13.19653,77.41037,16,2,0,0,0,Low
38947,ARMY Public School ASC Center,12.96467,77.61808,17,0,1,0,3,Very High
38947,ARMY Public School ASC Center,12.96467,77.61808,17,0,1,0,3,Very High
38947,ARMY Public School ASC Center,12.96467,77.61808,18,1,1,0,2,High
20781,Kengeri Ganesha Temple,12.91143,77.48037,7,4,1,0,3,Very High
20781,Kengeri Ganesha Temple,12.91143,77.48037,11,2,0,0,1,Medium
20781,Kengeri Ganesha Temple,12.91143,77.48037,18,0,1,0,3,Very High
20878,Jayaram Das Factory,12.93025,77.50594,22,6,0,1,0,Low
20878,Jayaram Das Factory,12.93025,77.50594,9,5,1,1,1,Medium
20878,Jayaram Das Factory,12.93025,77.50594,17,5,1,1,2,High
21221,Tharabanahalli Choultry,13.10535,77.47916,12,5,0,1,0,Low
21221,Tharabanahalli Choultry,13.10535,77.47916,18,1,1,0,3,Very High
21221,Tharabanahalli Choultry,13.10535,77.47916,13,4,0,0,1,Medium
38821,Nice Road Junction,12.86004,77.52879,12,0,0,0,1,Medium
38821,Nice Road Junction,12.86004,77.52879,22,0,0,0,1,Medium
38821,Nice Road Junction,12.86004,77.52879,11,4,0,0,1,Medium
35838,Nagawara Junction,13.04042,77.62445,17,4,1,0,3,Very High
35838,Nagawara Junction,13.04042,77.62445,20,4,0,0,1,Medium
35838,Nagawara Junction,13.04042,77.62445,16,3,0,0,0,Low
31106,KLE Society College Cross,12.9731,77.48347,20,0,0,0,0,Low
31106,KLE Society College Cross,12.9731,77.48347,22,5,0,1,0,Low
31106,KLE Society College Cross,12.9731,77.48347,6,4,0,0,0,Low
39009,Allalasandra Gate,13.08448,77.59386,8,6,1,1,0,Low
39009,Allalasandra Gate,13.08448,77.59386,17,1,1,0,3,Very High
39009,Allalasandra Gate,13.08448,77.59386,13,5,0,1,0,Low
26268,Jalahalli West Shettyhalli Road,13.05921,77.52024,13,1,0,0,0,Low
26268,Jalahalli West Shettyhalli Road,13.05921,77.52024,13,1,0,0,0,Low
26268,Jalahalli West Shettyhalli Road,13.05921,77.52024,10,0,0,0,0,Low
31254,Koyira,13.30346,77.64107,22,0,0,0,0,Low
31254,Koyira,13.30346,77.64107,18,3,1,0,2,High
31254,Koyira,13.30346,77.64107,18,5,1,1,0,Low
26617,Sriramapura Circle,13.06657,77.60977,11,1,0,0,1,Medium
26617,Sriramapura Circle,13.06657,77.60977,7,1,1,0,3,Very High
26617,Sriramapura Circle,13.06657,77.60977,18,4,1,0,2,High
34297,Puttaiahnapalya,12.95665,77.41061,6,1,0,0,1,Medium
34297,Puttaiahnapalya,12.95665,77.41061,22,2,0,0,0,Low
34297,Puttaiahnapalya,12.95665,77.41061,22,4,0,0,0,Low
24002,Reliance Petrol Bunk Goraguntepalya,13.02866,77.5363,14,2,0,0,1,Medium
24002,Reliance Petrol Bunk Goraguntepalya,13.02866,77.5363,11,3,0,0,1,Medium
24002,Reliance Petrol Bunk Goraguntepalya,13.02866,77.5363,11,2,0,0,1,Medium
33689,Lakshmisagara,12.81075,77.72426,10,1,0,0,1,Medium
33689,Lakshmisagara,12.81075,77.72426,22,4,0,0,0,Low
33689,Lakshmisagara,12.81075,77.72426,19,0,1,0,3,Very High
20718,Chikka Banavara,13.08046,77.50248,18,3,1,0,2,High
20718,Chikka Banavara,13.08046,77.50248,22,1,0,0,0,Low
20718,Chikka Banavara,13.08046,77.50248,13,6,0,1,0,Low
26351,Jinnagara Cross,13.02988,77.82598,7,5,1,1,1,Medium
26351,Jinnagara Cross,13.02988,77.82598,17,0,1,0,3,Very High
26351,Jinnagara Cross,13.02988,77.82598,10,5,0,1,1,Medium
34140,Shanthinagara Nelamangala,13.07899,77.36737,22,6,0,1,0,Low
34140,Shanthinagara Nelamangala,13.07899,77.36737,20,4,0,0,0,Low
34140,Shanthinagara Nelamangala,13.07899,77.36737,19,1,1,0,3,Very High
35269,K Narayanapura Cross,13.06757,77.63338,12,5,0,1,0,Low
35269,K Narayanapura Cross,13.06757,77.63338,7,5,1,1,1,Medium
35269,K Narayanapura Cross,13.06757,77.63338,20,2,0,0,0,Low
21857,Coles Park,12.99534,77.60829,7,3,1,0,3,Very High
21857,Coles Park,12.99534,77.60829,6,6,0,1,0,Low
21857,Coles Park,12.99534,77.60829,22,4,0,0,0,Low
21612,TG Halli Quarters,12.95244,77.33529,22,1,0,0,0,Low
21612,TG Halli Quarters,12.95244,77.33529,10,1,0,0,1,Medium
21612,TG Halli Quarters,12.95244,77.33529,7,4,1,0,2,High
22546,Thigalara Chowdenahalli Cross,12.88177,77.75677,16,2,0,0,0,Low
22546,Thigalara Chowdenahalli Cross,12.88177,77.75677,21,6,0,1,0,Low
22546,Thigalara Chowdenahalli Cross,12.88177,77.75677,21,3,0,0,0,Low
35444,Aralimara Hosahalli,13.14039,77.64126,8,2,1,0,3,Very High
35444,Aralimara Hosahalli,13.14039,77.64126,10,1,0,0,0,Low
35444,Aralimara Hosahalli,13.14039,77.64126,11,0,0,0,1,Medium
34697,Sriramapura Bommasandra Road,12.80231,77.66218,17,1,1,0,3,Very High
34697,Sriramapura Bommasandra Road,12.80231,77.66218,22,5,0,1,0,Low
34697,Sriramapura Bommasandra Road,12.80231,77.66218,14,1,0,0,1,Medium
33647,Kyalasanahalli Cross,12.80314,77.65148,20,5,0,1,0,Low
33647,Kyalasanahalli Cross,12.80314,77.65148,16,6,0,1,0,Low
33647,Kyalasanahalli Cross,12.80314,77.65148,22,1,0,0,1,Medium
23605,Sadhanapalya Gate,12.76803,77.48882,13,0,0,0,1,Medium
23605,Sadhanapalya Gate,12.76803,77.48882,20,6,0,1,0,Low
23605,Sadhanapalya Gate,12.76803,77.48882,19,1,1,0,3,Very High
34242,Pettanahalli,13.0513,77.79206,19,1,1,0,3,Very High
34242,Pettanahalli,13.0513,77.79206,19,2,1,0,2,High
34242,Pettanahalli,13.0513,77.79206,12,2,0,0,1,Medium
35743,CS-Kempegowda Bus Station,12.97816,77.57068,19,2,1,0,3,Very High
35743,CS-Kempegowda Bus Station,12.97816,77.57068,18,1,1,0,3,Very High
35743,CS-Kempegowda Bus Station,12.97816,77.57068,8,2,1,0,3,Very High
39550,CS-KPTCL Office,12.98301,77.57658,10,3,0,0,0,Low
39550,CS-KPTCL Office,12.98301,77.57658,12,5,0,1,1,Medium
39550,CS-KPTCL Office,12.98301,77.57658,22,4,0,0,0,Low
35268,K Narayanapura Main Bus Stand,13.06636,77.64067,8,0,1,0,3,Very High
35268,K Narayanapura Main Bus Stand,13.06636,77.64067,20,3,0,0,0,Low
35268,K Narayanapura Main Bus Stand,13.06636,77.64067,20,5,0,1,0,Low
31546,Valagere Kallahalli,12.88243,77.77592,7,6,1,1,1,Medium
31546,Valagere Kallahalli,12.88243,77.77592,22,3,0,0,0,Low
31546,Valagere Kallahalli,12.88243,77.77592,14,4,0,0,1,Medium
33263,Kalkere,13.03363,77.67475,7,2,1,0,2,High
33263,Kalkere,13.03363,77.67475,18,5,1,1,1,Medium
33263,Kalkere,13.03363,77.67475,6,4,0,0,0,Low
28926,Meda Maranahalli,12.70143,77.45173,11,5,0,1,0,Low
28926,Meda Maranahalli,12.70143,77.45173,9,5,1,1,0,Low
28926,Meda Maranahalli,12.70143,77.45173,14,6,0,1,0,Low
31447,Thindlu Cross,13.22855,77.59992,13,4,0,0,1,Medium
31447,Thindlu Cross,13.22855,77.59992,11,1,0,0,1,Medium
31447,Thindlu Cross,13.22855,77.59992,16,3,0,0,0,Low
39271,Allalasandra Gate FLY,13.085,77.59437,22,5,0,1,0,Low
39271,Allalasandra Gate FLY,13.085,77.59437,7,6,1,1,0,Low
39271,Allalasandra Gate FLY,13.085,77.59437,18,3,1,0,2,High
25486,Gopal Estate,12.818,77.48312,9,2,1,0,2,High
25486,Gopal Estate,12.818,77.48312,22,3,0,0,0,Low
25486,Gopal Estate,12.818,77.48312,19,5,1,1,0,Low
39518,Presidency University,13.17208,77.53569,16,6,0,1,0,Low
39518,Presidency University,13.17208,77.53569,16,2,0,0,0,Low
39518,Presidency University,13.17208,77.53569,15,4,0,0,0,Low
23457,Water Tank Kothanur Dinne,12.87455,77.58419,17,1,1,0,2,High
23457,Water Tank Kothanur Dinne,12.87455,77.58419,6,6,0,1,0,Low
23457,Water Tank Kothanur Dinne,12.87455,77.58419,16,6,0,1,0,Low
35382,Muneshwara Layout,12.95125,77.49437,22,4,0,0,1,Medium
35382,Muneshwara Layout,12.95125,77.49437,17,1,1,0,2,High
35382,Muneshwara Layout,12.95125,77.49437,16,0,0,0,0,Low
27673,RR Nagara Petrol Bunk,12.93275,77.51626,8,2,1,0,3,Very High
27673,RR Nagara Petrol Bunk,12.93275,77.51626,13,2,0,0,2,High
27673,RR Nagara Petrol Bunk,12.93275,77.51626,8,4,1,0,3,Very High
29847,Belagumba,12.99482,77.24641,19,1,1,0,3,Very High
29847,Belagumba,12.99482,77.24641,18,1,1,0,2,High
29847,Belagumba,12.99482,77.24641,13,6,0,1,0,Low
20717,Chikka Banavara,13.08043,77.5026,11,0,0,0,1,Medium
20717,Chikka Banavara,13.08043,77.5026,20,0,0,0,0,Low
20717,Chikka Banavara,13.08043,77.5026,22,0,0,0,0,Low
21791,Budigere Cross,13.04651,77.75054,7,5,1,1,0,Low
21791,Budigere Cross,13.04651,77.75054,13,2,0,0,1,Medium
21791,Budigere Cross,13.04651,77.75054,11,5,0,1,0,Low
30270,Byatarayanapura,13.06723,77.59354,13,1,0,0,0,Low
30270,Byatarayanapura,13.06723,77.59354,6,3,0,0,0,Low
30270,Byatarayanapura,13.06723,77.59354,11,0,0,0,2,High
39575,Kaggalahalli Gate,13.17414,77.74387,6,5,0,1,0,Low
39575,Kaggalahalli Gate,13.17414,77.74387,7,1,1,0,3,Very High
39575,Kaggalahalli Gate,13.17414,77.74387,15,0,0,0,0,Low
29576,Art Of Living Ravishankar Ashram,12.8286,77.51257,18,6,1,1,0,Low
29576,Art Of Living Ravishankar Ashram,12.8286,77.51257,18,3,1,0,2,High
29576,Art Of Living Ravishankar Ashram,12.8286,77.51257,13,4,0,0,1,Medium
24415,Channa Marayyanapalya,12.98134,77.36478,9,3,1,0,3,Very High
24415,Channa Marayyanapalya,12.98134,77.36478,9,3,1,0,3,Very High
24415,Channa Marayyanapalya,12.98134,77.36478,10,3,0,0,0,Low
36766,Koduru,12.94207,77.89354,15,5,0,1,0,Low
36766,Koduru,12.94207,77.89354,20,1,0,0,0,Low
36766,Koduru,12.94207,77.89354,19,2,1,0,2,High
33563,Konasandra Cross,12.76432,77.63555,18,5,1,1,0,Low
33563,Konasandra Cross,12.76432,77.63555,6,6,0,1,0,Low
33563,Konasandra Cross,12.76432,77.63555,16,3,0,0,0,Low
29188,Nagalakshmi Kalyana Mantapa,12.92713,77.56811,21,3,0,0,1,Medium
29188,Nagalakshmi Kalyana Mantapa,12.92713,77.56811,15,0,0,0,1,Medium
29188,Nagalakshmi Kalyana Mantapa,12.92713,77.56811,19,0,1,0,3,Very High
33984,E Muthasandra Gate,13.14462,77.82373,6,5,0,1,0,Low
33984,E Muthasandra Gate,13.14462,77.82373,19,3,1,0,2,High
33984,E Muthasandra Gate,13.14462,77.82373,6,6,0,1,0,Low
39281,Hunasamaranahalli FLY,13.14434,77.61759,13,6,0,1,0,Low
39281,Hunasamaranahalli FLY,13.14434,77.61759,14,4,0,0,1,Medium
39281,Hunasamaranahalli FLY,13.14434,77.61759,14,2,0,0,1,Medium
35519,Aladamara Laggere,13.01332,77.52098,16,5,0,1,0,Low
35519,Aladamara Laggere,13.01332,77.52098,7,2,1,0,3,Very High
35519,Aladamara Laggere,13.01332,77.52098,16,2,0,0,2,High
36393,CS-ISRO Quarters Jalahalli,13.04416,77.53506,12,3,0,0,1,Medium
36393,CS-ISRO Quarters Jalahalli,13.04416,77.53506,22,4,0,0,0,Low
36393,CS-ISRO Quarters Jalahalli,13.04416,77.53506,22,6,0,1,0,Low
22112,Kodihalli Gate/Gollahallii Jn,12.90772,77.48889,13,0,0,0,0,Low
22112,Kodihalli Gate/Gollahallii Jn,12.90772,77.48889,18,5,1,1,1,Medium
22112,Kodihalli Gate/Gollahallii Jn,12.90772,77.48889,22,4,0,0,0,Low
29745,Basava Gangotri Samsthe,12.88359,77.45044,21,2,0,0,0,Low
29745,Basava Gangotri Samsthe,12.88359,77.45044,19,2,1,0,3,Very High
29745,Basava Gangotri Samsthe,12.88359,77.45044,7,5,1,1,0,Low
24545,Chikka Thimmasandra,12.84561,77.74452,11,2,0,0,0,Low
24545,Chikka Thimmasandra,12.84561,77.74452,6,4,0,0,0,Low
24545,Chikka Thimmasandra,12.84561,77.74452,8,1,1,0,2,High
21994,Gulakamale,12.79765,77.52361,19,1,1,0,3,Very High
21994,Gulakamale,12.79765,77.52361,12,4,0,0,1,Medium
21994,Gulakamale,12.79765,77.52361,8,6,1,1,1,Medium
25008,Dodda Basti,12.93956,77.47289,13,5,0,1,0,Low
25008,Dodda Basti,12.93956,77.47289,10,2,0,0,1,Medium
25008,Dodda Basti,12.93956,77.47289,20,1,0,0,0,Low
39624,Kadusonnappanahalli Hospital,13.09829,77.66554,8,5,1,1,1,Medium
39624,Kadusonnappanahalli Hospital,13.09829,77.66554,19,2,1,0,3,Very High
39624,Kadusonnappanahalli Hospital,13.09829,77.66554,10,5,0,1,0,Low
30167,Bommandahalli,12.75406,77.64278,21,1,0,0,0,Low
30167,Bommandahalli,12.75406,77.64278,12,0,0,0,0,Low
30167,Bommandahalli,12.75406,77.64278,21,4,0,0,1,Medium
37623,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01229,77.66199,7,0,1,0,3,Very High
37623,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01229,77.66199,16,1,0,0,1,Medium
37623,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01229,77.66199,17,3,1,0,3,Very High
22162,Kenchanapura Cross,12.94157,77.49344,11,5,0,1,0,Low
22162,Kenchanapura Cross,12.94157,77.49344,17,2,1,0,3,Very High
22162,Kenchanapura Cross,12.94157,77.49344,17,0,1,0,3,Very High
31294,Kudlu,12.88957,77.65506,19,6,1,1,1,Medium
31294,Kudlu,12.88957,77.65506,22,1,0,0,0,Low
31294,Kudlu,12.88957,77.65506,19,0,1,0,3,Very High
36685,CS-HAL Gnanajyothi School,12.96033,77.69336,18,0,1,0,3,Very High
36685,CS-HAL Gnanajyothi School,12.96033,77.69336,16,5,0,1,1,Medium
36685,CS-HAL Gnanajyothi School,12.96033,77.69336,18,1,1,0,3,Very High
34173,Nobo Nagara,12.86809,77.59783,15,3,0,0,1,Medium
34173,Nobo Nagara,12.86809,77.59783,7,0,1,0,3,Very High
34173,Nobo Nagara,12.86809,77.59783,11,1,0,0,1,Medium
27633,Patalamma Temple,13.18343,77.56991,15,5,0,1,0,Low
27633,Patalamma Temple,13.18343,77.56991,11,2,0,0,1,Medium
27633,Patalamma Temple,13.18343,77.56991,17,4,1,0,3,Very High
24455,Cheemasandra Gate,13.03903,77.74008,12,1,0,0,1,Medium
24455,Cheemasandra Gate,13.03903,77.74008,19,1,1,0,2,High
24455,Cheemasandra Gate,13.03903,77.74008,16,0,0,0,0,Low
21024,Milk Dairy Hegganahalli,13.0074,77.50543,9,2,1,0,2,High
21024,Milk Dairy Hegganahalli,13.0074,77.50543,13,2,0,0,1,Medium
21024,Milk Dairy Hegganahalli,13.0074,77.50543,12,2,0,0,1,Medium
29851,Bellahalli,13.09915,77.64212,10,0,0,0,0,Low
29851,Bellahalli,13.09915,77.64212,20,3,0,0,0,Low
29851,Bellahalli,13.09915,77.64212,8,3,1,0,2,High
22684,3rd Main Road Annapoorneshwarinagara,12.97816,77.50434,18,2,1,0,2,High
22684,3rd Main Road Annapoorneshwarinagara,12.97816,77.50434,14,0,0,0,1,Medium
22684,3rd Main Road Annapoorneshwarinagara,12.97816,77.50434,16,1,0,0,2,High
35297,Jigani KEB,12.77686,77.64491,10,3,0,0,1,Medium
35297,Jigani KEB,12.77686,77.64491,11,1,0,0,0,Low
35297,Jigani KEB,12.77686,77.64491,10,3,0,0,1,Medium
22651,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01124,77.66226,22,4,0,0,0,Low
22651,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01124,77.66226,22,6,0,1,0,Low
22651,B Channasandra Bridge(Ramamurthy Nagara Ring Road),13.01124,77.66226,13,6,0,1,1,Medium
22303,MR Nursing College,13.05824,77.64875,21,5,0,1,0,Low
22303,MR Nursing College,13.05824,77.64875,17,6,1,1,1,Medium
22303,MR Nursing College,13.05824,77.64875,14,4,0,0,1,Medium
32828,Halasahalli Cross,13.08981,77.83619,15,6,0,1,1,Medium
