route_long_name,route_short_name,agency_id,route_type,route_id,total_stops,avg_stop_lat,avg_stop_lon
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli Arrival,250-DD,1,3,250-DD,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Byadarahalli,BC-7B,1,3,BC-7B,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Depot-31 Gate,8THM-D315,1,3,8THM-D315,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Gangondanahalli,BC-7E,1,3,BC-7E,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Herohalli Cross,BC-7H,1,3,BC-7H,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ KR Market (Kalasipalya),BC-7B,1,3,BC-7B 8thM-KMT,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Kachohalli Gate,BC-7K,1,3,BC-7K,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Suvarna Nagara,MF-25A,1,3,MF-25A,9360,12.988787012820513,77.58021691025641
8th Mile Dasarahalli ⇔ Thippennahalli,MF-25,1,3,MF-25,9360,12.988787012820513,77.58021691025641
9th Block Jayanagara (40th Cross) ⇔ Chandra Layout,60-A CLO-JNN,1,3,60-A CLO-JNN,9360,12.988787012820513,77.58021691025641
9th Block Jayanagara (40th Cross) ⇔ Nagarabhavi Circle,60A-MDP-NBC,1,3,60A-MDP-NBC,9360,12.988787012820513,77.58021691025641
9th Block Jayanagara (40th Cross) ⇔ Panchasheela Nagara,237-J,1,3,237-J,9360,12.988787012820513,77.58021691025641
9th Block Jayanagara (40th Cross) ⇔ Vittal Nagara,60-A JNN-VTN,1,3,60-A JNN-VTN,9360,12.988787012820513,77.58021691025641
ADMC Quarters Office ⇔ KR Pura Govt Hospital,300-E,1,3,300-E ADMC-KRPGH,9360,12.988787012820513,77.58021691025641
AECS Layout Singasandra ⇔ KR Market (Kalasipalya),347-K,1,3,347-K,9360,12.988787012820513,77.58021691025641
AECS Layout Singasandra ⇔ Kempegowda Bus Station,347-N,1,3,347-N,9360,12.988787012820513,77.58021691025641
AGS Layout Cross ⇔ Kempegowda Bus Station,45-G,1,3,45-G AGSLC-KBS,9360,12.988787012820513,77.58021691025641
Abbigere ⇔ Peenya 2nd stage,401-AK,1,3,401-AK ABG-PSS,9360,12.988787012820513,77.58021691025641
Acharya Institute of Technology ⇔ KR Market,V-250SB,1,3,V-250SB,9360,12.988787012820513,77.58021691025641
Adarshanagara Water Tank ⇔ Kempegowda Bus Station,258-N,1,3,258-N ASDW-VSD-KBS,9360,12.988787012820513,77.58021691025641
Adishwara Bombay Dying ⇔ Yelahanka Old Town,401,1,3,401 ABDYNG-YHK,9360,12.988787012820513,77.58021691025641
Agara Junction ⇔ Agara Junction,HSR FDR-1,1,3,HSR FDR-1,9360,12.988787012820513,77.58021691025641
Agara Junction ⇔ Agara Junction,HSR FDR-1A,1,3,HSR FDR-1A,9360,12.988787012820513,77.58021691025641
Agrahara Layout ⇔ KR Market,291-JA,1,3,291-JA,9360,12.988787012820513,77.58021691025641
Agrahara Layout ⇔ Shivajinagara Bus Station,290-F,1,3,290-F,9360,12.988787012820513,77.58021691025641
Aliaskar Embassy ⇔ MG Road Metro Station,AAE-MGRMS,1,3,AAE-MGRMS,9360,12.988787012820513,77.58021691025641
Allalasandra ⇔ Kempegowda Bus Station,284-E,1,3,284-E ALS-KBS,9360,12.988787012820513,77.58021691025641
Allalasandra ⇔ Puttenahalli,ALS-PTH,1,3,ALS-PTH,9360,12.988787012820513,77.58021691025641
Alphine Apartment ⇔ Shivajinagara Bus Station,ALP-SBS,1,3,ALP-SBS,9360,12.988787012820513,77.58021691025641
Aluru BDA 1st Stage ⇔ Depot-40 Gate,255-AE-ALRBDA-D40G,1,3,255-AE-ALRBDA-D40G,9360,12.988787012820513,77.58021691025641
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE,1,3,255-AE ALRB2-VSD-KBS,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Bannerughatta Circle,365-Z,1,3,365-Z,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Central Silk Board,600-CA,1,3,600-CA ANK-CSB,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Chikka Thirupathi,399-C,1,3,399-C,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Chinnaiahnapalya,366-Z,1,3,366-Z ANK-CNP,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Depot-38 Gate,356 ANK-D38G,1,3,356 ANK-D38G,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Depot-42 Gate  Arrival,3F-1,1,3,3F-1 D42G-ANK,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Hosakote Bus Stand (Old),399-D,1,3,399-D HSK-CPR-ANK,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Menashiganahalli,356-Z,1,3,356-Z ANK-MSH,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Sarjapura,3F-1,1,3,3F-1,9360,12.988787012820513,77.58021691025641
Anekal ⇔ Sarjapura,3F-5,1,3,3F-5,9360,12.988787012820513,77.58021691025641
Anjanamurthy ⇔ KR Market,AJM-KMT,1,3,AJM-KMT,9360,12.988787012820513,77.58021691025641
Anjanapura 10 Block ⇔ Chandapura,398-B,1,3,398-B D44G-BGT-CPR,9360,12.988787012820513,77.58021691025641
Anjanapura 10 Block ⇔ Electronic City 378,378-E,1,3,378-E D44G-ELC,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Gottigehalli,214-G,1,3,214-G D44-SMH-GTH,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Jayanagara Metro Station Arrival,215-CA,1,3,215-CA D44-JNMS,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Nagegowdanapalya,212-C,1,3,212-C D44-NGP,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Shanthinagara Bus Station,CALLBUS-02,1,3,CALLBUS-02 ANP-SNBS,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Shivajinagara Bus Station,215-N-D44-SBS,1,3,215-N-D44-SBS,9360,12.988787012820513,77.58021691025641
Anjanapura 10th Block ⇔ Tulasipura,D44-TLSP,1,3,D44-TLSP,9360,12.988787012820513,77.58021691025641
Annapoorneshwarinagara ⇔ GKVK,502-E,1,3,502-E ANPN-GKVK,9360,12.988787012820513,77.58021691025641
Annapoorneshwarinagara ⇔ Kempegowda Bus Station,MBS-12,1,3,MBS-12 ANP-VSD-KBS,9360,12.988787012820513,77.58021691025641
Anugraha Badavane (Bilekahalli) ⇔ Banashankari Bus Station,25-B,1,3,25-B AGL-BSK-DOWN,9360,12.988787012820513,77.58021691025641
Anugraha Badavane (Bilekahalli) ⇔ Vidhana Soudha Karnataka High Court,25-B AGL-VSD,1,3,25-B AGL-VSD,9360,12.988787012820513,77.58021691025641
Arishinakunte ⇔ Kempegowda Bus Station,250-SA,1,3,250-SA ASK-SDN-KBS,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ KR Market,315 ARMY-KMT,1,3,315 ARMY-KMT,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ KR Pura Govt Hospital,300-E,1,3,300-E ARMY-SBS-KRPGH,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Kempegowda Bus Station,ARMY-SBS-KBS,1,3,ARMY-SBS-KBS,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Kodigehalli Gate,287-A,1,3,287-A ARMY-KDHG,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Mayohall,APS-MYH,1,3,APS-MYH,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Neelasandra Rose Garden,144-G,1,3,144-G ARMPS-NRG,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Sir M Visvesvaraya Terminal,ARMPS-SMVRS,1,3,ARMPS-SMVRS,9360,12.988787012820513,77.58021691025641
Army Public School Kamaraja Road ⇔ Yelahanka Old Town,290-E,1,3,290-E ARMY-SBS-YHKOT,9360,12.988787012820513,77.58021691025641
Art of Living Sri Ravishankar Ashram ⇔ Kempegowda International Airport,KIA-5D,1,3,KIA-5D,9360,12.988787012820513,77.58021691025641
Ashoka Pillar ⇔ Pramod Layout,43-H ASP-PLO,1,3,43-H ASP-PLO,9360,12.988787012820513,77.58021691025641
Aspire bee School ⇔ Kadugodi Bus Station,399,1,3,399 ABS-DMSC-KDG,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Anekal,399-G,1,3,399-G,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Central Silk Board,600-F,1,3,600-F ATB-CSB,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Depot-27 Gate,399-F,1,3,399-F ATB-D27G,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Depot-38 Gate,328HK,1,3,328HK ATB-D38G,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Depot-41 Gate,328-H,1,3,328-H ATB-D41G,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Devanagondi,606,1,3,606,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ ISRO Layout,600-G,1,3,600-G ATB-ISRLO,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Kadugodi Bus Station,328-H,1,3,328-H ATB-KDG,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Kadugodi Bus Station,328-HK,1,3,328-HK,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Kaggalipura,398-B,1,3,398-B ATB-KGP,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Kranthiveera Sangolli Rayanna Railway Station,360-K,1,3,360-K KSR-ATB,9360,12.988787012820513,77.58021691025641
Attibele Bus Stand ⇔ Sir M Visvesvaraya Terminal,V-500VA,1,3,V-500VA ATB-CSB-SVMR,9360,12.988787012820513,77.58021691025641
Atturu ⇔ Puttenahalli,ATR-PTH,1,3,ATR-PTH,9360,12.988787012820513,77.58021691025641
Avalahalli BDA Park Girinagara ⇔ Attibele Bus Stand,KBS-3A,1,3,KBS-3A AVLBDA-KBS-ATB,9360,12.988787012820513,77.58021691025641
BCC Layout ⇔ Kaval Byrasandra,176-E,1,3,176-E,9360,12.988787012820513,77.58021691025641
BCC Layout ⇔ Shivajinagara Bus Station,63,1,3,63,9360,12.988787012820513,77.58021691025641
BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,356-CW,1,3,356-CW,9360,12.988787012820513,77.58021691025641
BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,356-CW UFLY,1,3,356-CW UFLY,9360,12.988787012820513,77.58021691025641
BDA Complex HSR Layout ⇔ Kempegowda International Airport,KIA-7A,1,3,KIA-7A,9360,12.988787012820513,77.58021691025641
BEL Circle ⇔ BEML Layout 5th stage,401-RC,1,3,401-RC,9360,12.988787012820513,77.58021691025641
BEL Circle ⇔ Central Silk Board,V-500BC,1,3,V-500BC,9360,12.988787012820513,77.58021691025641
BEL Circle ⇔ Jalahalli Cross,MF-23B,1,3,MF-23B,9360,12.988787012820513,77.58021691025641
BEL Circle ⇔ KR Pura Railway Station,500-QB,1,3,500-QB,9360,12.988787012820513,77.58021691025641
BEL Circle ⇔ Kadugodi Bus Station,V-500QK,1,3,V-500QK,9360,12.988787012820513,77.58021691025641
BEL Factory ⇔ Central Silk Board,500-D,1,3,500-D BELF-CSB,9360,12.988787012820513,77.58021691025641
BEL Factory ⇔ Doddaballapura Bus Stand,285,1,3,285 BELF-HBLB-DBP,9360,12.988787012820513,77.58021691025641
BEL Factory ⇔ Kempegowda Bus Station,276 BELF-KBS,1,3,276 BELF-KBS,9360,12.988787012820513,77.58021691025641
BEML Factory ⇔ Central Silk Board,500-D,1,3,500-D BEML-TNF-CSB,9360,12.988787012820513,77.58021691025641
BEML Factory ⇔ Hosakote Bus Stand (Old),KBS-12HK,1,3,KBS-12HK BEMLF-HSK,9360,12.988787012820513,77.58021691025641
BEML Factory ⇔ Kempegowda Bus Station,333,1,3,333 KBS-HALM-BEMLF,9360,12.988787012820513,77.58021691025641
BEML Factory ⇔ Yelahanka Old Town,314,1,3,314 BEMLF-SBS-YHK,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Banasawadi,303,1,3,303 BEMLG-BSW,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Beguru,BEML-BGR,1,3,BEML-BGR,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Central Silk Board,500,1,3,500 BEML-MRTB-CSB,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Electronic City,201-G,1,3,201-G BEMLG-ELC,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Kadugodi Bus Station,KBS-1K,1,3,KBS-1K BEML-HAL-KDG,9360,12.988787012820513,77.58021691025641
BEML Gate ⇔ Summanahalli,314-H,1,3,314-H MLP-SMH,9360,12.988787012820513,77.58021691025641
BEML Layout 5th Stage ⇔ BEML Gate,BEML5-BEMLG,1,3,BEML5-BEMLG,9360,12.988787012820513,77.58021691025641
BEML Layout 5th Stage ⇔ Ittamadu 1,D21G-ITM,1,3,D21G-ITM,9360,12.988787012820513,77.58021691025641
BEML Layout 5th Stage ⇔ Jnanakshi Layout,225-C,1,3,225-C BEML5-JNKLO,9360,12.988787012820513,77.58021691025641
BEML Layout 5th Stage ⇔ Kambipura,BEML5-KMB,1,3,BEML5-KMB,9360,12.988787012820513,77.58021691025641
BEML Layout 5th Stage ⇔ Kumaraswamy Layout West,BEML5-KSLOW,1,3,BEML5-KSLOW,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Attibele Bus Stand,600-F,1,3,600-F BEML5-ATB,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ BEML Layout Mylasandra 7th Stage,BEML5S-BEML7S,1,3,BEML5S-BEML7S,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Banashankari Bus Station,375-D,1,3,375-D BEML5-BSK,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Chikkegowdanapalya,BEML5-CKGP,1,3,BEML5-CKGP,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Darshan Farm,225-CC,1,3,225-CC BEML5-DRF,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Electronic City 378,378,1,3,378 BEML5-ELC,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Electronic City Wipro Main Gate,NICE-5,1,3,NICE-5,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ HAL ARDC,225-CA,1,3,225-CA BEML5-HAL ARDC,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Jnanakshi Vidyaniketan School,225-C,1,3,225-C BEML5-JNSVS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Kempegowda Bus Station,210-N,1,3,210-N BEML5TS-KBS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Kempegowda Bus Station,225-C,1,3,225-C BEMLLO-KMT-KBS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Kempegowda Bus Station,225-C FLY,1,3,225-C FLY,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Manganahalli,234,1,3,234 BEML5-MGH,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Mayasandra,227-A,1,3,227-A BEML5-MYS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Mysore Road Bus Station,225-C,1,3,225-C BEML5-MRBS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Nachiyar Cafe RRN,BEML5-TNC,1,3,BEML5-TNC,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Puttenahalli,401-R,1,3,401-R BEML5-PTH,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Rajarajeshwari nagara Metro Station,MF-14,1,3,MF-14 BEML5-RRMS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Shanthinagara Bus Station,G-6,1,3,G-6 BEML5-SNBS,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Shanthinagara Bus Station,G-6B,1,3,G-6B,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Shanthinagara Bus Station,G-6B FLYOVER,1,3,G-6B FLYOVER,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Shirke KHB Quarters,BEML5-KHBQ,1,3,BEML5-KHBQ,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Shobha Hills View Apartment,212-C,1,3,212-C BEML5-SHVA,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Yelahanka Old Town,401-R,1,3,401-R,9360,12.988787012820513,77.58021691025641
BEML Layout 5th stage ⇔ Yeshawanthapura Bus Station,410-FB,1,3,410-FB,9360,12.988787012820513,77.58021691025641
BMSIT College Campous Yelahanka ⇔ Yelahanka Old Town,285,1,3,285 BMSITY-YHKOT,9360,12.988787012820513,77.58021691025641
BSF Yelahanka ⇔ Shivajinagara Bus Station,291-LA,1,3,291-LA BSF-SBS,9360,12.988787012820513,77.58021691025641
BTM Layout Water Tank ⇔ Shivajinagara Bus Station,27,1,3,27 BTT-VSD-SBS,9360,12.988787012820513,77.58021691025641
Bagalur ⇔ Jalahalli Cross,401-BJ,1,3,401-BJ,9360,12.988787012820513,77.58021691025641
Bagalur ⇔ KR Pura Govt Hospital,293-Y,1,3,293-Y,9360,12.988787012820513,77.58021691025641
Bagalur ⇔ KR Pura Govt Hospital,293-YA,1,3,293-YA,9360,12.988787012820513,77.58021691025641
Bagalur ⇔ Vidyanagara Cross,282 BLR-VNC,1,3,282 BLR-VNC,9360,12.988787012820513,77.58021691025641
Bagmane Tech Park ⇔ Swamy Vivekananda Metro Station/Isolation Hospital,BTP-SVM,1,3,BTP-SVM,9360,12.988787012820513,77.58021691025641
Balluru ⇔ Depot-38 Gate,360-C,1,3,360-C D38G-BLR,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ 9th Block Jayanagara (40th Cross),BSK-JNN,1,3,BSK-JNN,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ AECS Layout Singasandra,600-A,1,3,600-A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Anekal,600-CA,1,3,600-CA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Anjanapura,215-BB,1,3,215-BB BSK-AJP,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Attibele Bus Stand,600-F,1,3,600-F,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Attibele Bus Stand,600-F,1,3,600-F FLYOVER,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Attibele Bus Stand,EXP-600F,1,3,EXP-600F,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Attibele Bus Stand,V-600F,1,3,V-600F,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Attibele Bus Stand,V-EXP 600F,1,3,V-EXP 600F,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ BEL Circle,500-BC,1,3,500-BC,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ BEL Factory,500-A,1,3,500-A BSK-BELF,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Banashankari Bus Station,510,1,3,510,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Banashankari Bus Station,510-A,1,3,510-A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Banashankari Bus Station,V-DIVYA,1,3,V-DIVYA DARSHANA-1A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Bengaluru Children Hospital,375-D,1,3,375-D BSK-BCH,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Bhuvaneshwari Nagara Mahalakshmi Temple,45-B BSK-BVN,1,3,45-B BSK-BVN,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Bidadi,211-NA,1,3,211-NA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Bidadi,375-G,1,3,375-G,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Binnamangala,201-G,1,3,201-G BSK-BNM,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Bristol Quarters,201-RB,1,3,201-RB BSKTTMC-BTLQT,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Chandapura,378-P,1,3,378-P,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Chandapura,600-C,1,3,600-C,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Chandra Nagara,210-X,1,3,210-X BSK-CNDRN,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Channammanakere Achukattu,45-F BSK-CKA,1,3,45-F BSK-CKA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Chikka Banavara,410-FG,1,3,410-FG,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Chikka Thirupathi,500-CF,1,3,500-CF,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Concorde Napa Valley,211-AC,1,3,211-AC BSK-CNV,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Dayananda Sagara MDC,213-VD,1,3,213-VD,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Depot-32 Suryacity,600-F,1,3,600-F BSK-D32,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Devanagondi,506,1,3,506,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Dodda Maralawadi,213-WA,1,3,213-WA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City 378,378-E,1,3,378-E,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City 378,NICE-2,1,3,NICE-2,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City East Phase-II,600-QA,1,3,600-QA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CF,1,3,600-CF,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CF UFLY,1,3,600-CF UFLY,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CK,1,3,600-CK,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Girinagara Extension,36-B BSK-GNE,1,3,36-B BSK-GNE,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Gundanjaneya Swamy Temple Ravagodlu,213-B,1,3,213-B,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Guttepalya,214-DA,1,3,214-DA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Harohalli,213-V,1,3,213-V,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Harohalli,EXP-213V,1,3,EXP-213V,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Head Start School Kommasandra,500-CF,1,3,500-CF BSK-HSS,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Hebbala Bridge,500-A,1,3,500-A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Hebbala Bridge,501-A,1,3,501-A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Hebbala Bridge,501-BH,1,3,501-BH,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Hebbala Bridge,V-500A,1,3,V-500A,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Hoskerehalli Kerekodi,43-C,1,3,43-C BSK-MNKK,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Huskur,600-CH,1,3,600-CH,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ ITPL,500-CA,1,3,500-CA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ ITPL,V-500CA,1,3,V-500CA,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jai Bheem nagara (Ado Sonnahatti),354-C,1,3,354-C BSK-JBR,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jalahalli Cross,410-K,1,3,410-K,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jambu Savari Dinne,215-H,1,3,215-H BSK-JSD,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jambu Savari Dinne,MF-15,1,3,MF-15 BSK-JSD,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jeevanbheema Nagara,201-G,1,3,201-G,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Jigani APC Circle,600-FC,1,3,600-FC,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ Judicial Layout,211UB,1,3,211UB,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ KR Pura Govt Hospital,500-L,1,3,500-L BSK-KRPGH,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ KR Pura Govt Hospital,500-L,1,3,500-L BSK-TNF-KRPGH,9360,12.988787012820513,77.58021691025641
Banashankari Bus Station ⇔ KR Pura Metro Station,V-MF1C,1,3,V-MF1C BSK-KRPMS,9360,12.988787012820513,77.58021691025641
