stop_id,stop_name,stop_lat,stop_lon,service_type,total_routes,hour,day_of_week,passenger_count,crowd_level,crowd_level_code,day_type,time_period,is_rush_hour
22884,17th Main Hopcoms BTM Layout,12.91953,77.61028,Weekday,4190,13,5,30,Low,0,Weekend,Midday,0
22890,18th Main Jayanagara,12.92328,77.58898,Weekday,4190,13,0,48,Medium,1,Weekday,Midday,0
23428,18th Main Jayanagara,12.92343,77.58964,Weekday,4190,8,4,90,High,2,Weekday,Morning Rush,1
22891,19th Main 13th Cross HSR Layout,12.91593,77.65176,Weekday,4190,11,1,13,Low,0,Weekday,Midday,0
24300,19th Main 13th Cross HSR Layout,12.91582,77.65175,Weekday,4190,10,1,89,High,2,Weekday,Midday,0
20575,1st Block Rajajinagara,13.0047,77.54909,Weekday,4190,7,5,90,High,2,Weekend,Morning Rush,1
20576,1st Block Rajajinagara,13.00515,77.54887,Weekday,4190,13,6,65,High,2,Weekend,Midday,0
39193,1st Block Rajajinagara,13.00592,77.54867,Weekday,4190,17,4,90,High,2,Weekday,Evening Rush,1
21631,1st Block Vidyaranyapura,13.07024,77.55543,Weekday,4190,19,6,14,Low,0,Weekend,Evening Rush,1
21632,1st Block Vidyaranyapura,13.07023,77.55539,Weekday,4190,11,6,44,Medium,1,Weekend,Midday,0
29392,1st Block Vishweshwaraiah Layout,12.93746,77.47873,Weekday,4190,7,4,43,Medium,1,Weekday,Morning Rush,1
35600,1st Block Vishweshwaraiah Layout,12.93748,77.47888,Weekday,4190,21,0,33,Medium,1,Weekday,Night,0
20577,1st Cross Magadi Road,12.97569,77.563,Weekday,4190,17,5,47,Medium,1,Weekend,Evening Rush,1
20578,1st Cross Magadi Road,12.97569,77.5628,Weekday,4190,10,5,30,Low,0,Weekend,Midday,0
29393,1st Main Kodichikkanahalli,12.89854,77.61543,Weekday,4190,6,2,63,High,2,Weekday,Morning Rush,0
35599,1st Main Kodichikkanahalli,12.89847,77.6155,Weekday,4190,17,5,45,Medium,1,Weekend,Evening Rush,1
22896,1st Stage 3rd Block Nagarabhavi (Nayandahalli),12.95302,77.52026,Weekday,4190,15,1,92,Very High,3,Weekday,Midday,0
22897,1st Stage 3rd Block Nagarabhavi (Summanahalli),12.95286,77.52017,Weekday,4190,11,0,26,Low,0,Weekday,Midday,0
29395,1st Stage HBR Layout,13.02116,77.6263,Weekday,4190,18,4,21,Low,0,Weekday,Evening Rush,1
24297,22nd Cross HSR Layout,12.90857,77.65163,Weekday,4190,17,5,102,Very High,3,Weekend,Evening Rush,1
29400,2nd Stage  H B R Layout (2nd Cross),13.03172,77.61208,Weekday,4190,14,0,27,Low,0,Weekday,Midday,0
35596,2nd Stage 11th Block Nagarabhavi,12.97754,77.51333,Weekday,4190,6,5,44,Medium,1,Weekend,Morning Rush,0
35595,2nd Stage 9th Block Nagarabhavi,12.96864,77.51027,Weekday,4190,16,4,62,High,2,Weekday,Midday,0
29399,2nd Stage H B R Layout (1st Main),13.02881,77.61556,Weekday,4190,16,3,59,Medium,1,Weekday,Midday,0
35594,2nd Stage H B R Layout (1st Main),13.02881,77.61553,Weekday,4190,20,4,81,High,2,Weekday,Night,0
35593,2nd Stage HBR Layout (2nd Cross),13.03165,77.61209,Weekday,4190,15,4,88,High,2,Weekday,Midday,0
22907,2nd Stage Kanteeravanagara,13.01505,77.53901,Weekday,4190,21,4,54,Medium,1,Weekday,Night,0
29402,2nd stage Kuvempunagara,13.07313,77.54132,Weekday,4190,17,5,23,Low,0,Weekend,Evening Rush,1
35591,2nd stage Kuvempunagara,13.07306,77.54142,Weekday,4190,17,2,37,Medium,1,Weekday,Evening Rush,1
21446,3rd Block Jayanagara,12.9318,77.58393,Weekday,4190,21,4,95,Very High,3,Weekday,Night,0
21447,3rd Block Jayanagara,12.93349,77.58396,Weekday,4190,20,1,93,Very High,3,Weekday,Night,0
21633,3rd Block Vidyaranyapura,13.0723,77.55641,Weekday,4190,19,1,33,Medium,1,Weekday,Evening Rush,1
21634,3rd Block Vidyaranyapura,13.07226,77.55635,Weekday,4190,19,0,43,Medium,1,Weekday,Evening Rush,1
22684,3rd Main Road Annapoorneshwarinagara,12.97816,77.50434,Weekday,4190,20,2,75,High,2,Weekday,Night,0
22688,3rd Main Road Annapoorneshwarinagara,12.97811,77.50446,Weekday,4190,19,0,84,High,2,Weekday,Evening Rush,1
29404,3rd Stage Basaveshwaranagara,12.98912,77.54249,Weekday,4190,8,1,42,Medium,1,Weekday,Morning Rush,1
35589,3rd Stage Basaveshwaranagara,12.98898,77.54254,Weekday,4190,17,6,56,Medium,1,Weekend,Evening Rush,1
29406,4th Block HBR Layout,13.03437,77.63268,Weekday,4190,12,1,46,Medium,1,Weekday,Midday,0
35587,4th Block HBR Layout,13.03435,77.63264,Weekday,4190,9,3,94,Very High,3,Weekday,Midday,1
29407,4th Phase Yelahanka New Town Iyengar Bakery,13.10426,77.57,Weekday,4190,21,4,15,Low,0,Weekday,Night,0
35586,4th Stone NICE Road,13.009,77.47509,Weekday,4190,14,6,16,Low,0,Weekend,Midday,0
22918,4th T Block Jayanagara,12.92317,77.59363,Weekday,4190,8,1,19,Low,0,Weekday,Morning Rush,1
24180,4th T Block Jayanagara,12.9229,77.59341,Weekday,4190,10,5,66,High,2,Weekend,Midday,0
29409,5th Block HBR Layout,13.03585,77.63142,Weekday,4190,8,5,67,High,2,Weekend,Morning Rush,1
35585,5th Block HBR Layout,13.03582,77.6315,Weekday,4190,12,0,43,Medium,1,Weekday,Midday,0
22920,5th Block Jayanagara,12.91727,77.58359,Weekday,4190,10,6,25,Low,0,Weekend,Midday,0
22921,5th Block Jayanagara,12.91727,77.58367,Weekday,4190,14,0,16,Low,0,Weekday,Midday,0
35584,5th Block Vishweshwaraiah Layout,12.95838,77.4816,Weekday,4190,12,4,12,Low,0,Weekday,Midday,0
20584,5th Cross Magadi Road,12.97567,77.56081,Weekday,4190,7,4,84,High,2,Weekday,Morning Rush,1
20585,5th Cross Magadi Road,12.97578,77.56071,Weekday,4190,9,3,16,Low,0,Weekday,Midday,1
22923,5th Cross Sriramapura,12.99214,77.56647,Weekday,4190,14,2,89,High,2,Weekday,Midday,0
22925,5th Phase Yelahanka New Town,13.10575,77.57251,Weekday,4190,17,0,51,Medium,1,Weekday,Evening Rush,1
29412,5th Stone NICE Road,12.97116,77.47145,Weekday,4190,19,4,103,Very High,3,Weekday,Evening Rush,1
20586,6th Block Rajajinagara,12.97944,77.55359,Weekday,4190,7,0,132,Very High,3,Weekday,Morning Rush,1
20587,6th Block Rajajinagara,12.97953,77.55377,Weekday,4190,15,4,33,Medium,1,Weekday,Midday,0
22929,7th Cross Wilson Garden,12.94699,77.59436,Weekday,4190,14,1,24,Low,0,Weekday,Midday,0
23661,7th Cross Wilson Garden,12.94684,77.59465,Weekday,4190,15,0,23,Low,0,Weekday,Midday,0
20588,80 feet Road Kalyananagara,13.02564,77.6406,Weekday,4190,10,1,63,High,2,Weekday,Midday,0
21450,80 feet Road Kalyananagara,13.02546,77.64042,Weekday,4190,7,0,130,Very High,3,Weekday,Morning Rush,1
29419,80ft Road Banasawadi,13.01538,77.6429,Weekday,4190,9,2,22,Low,0,Weekday,Midday,1
35575,80ft Road Banasawadi,13.01511,77.64267,Weekday,4190,17,3,130,Very High,3,Weekday,Evening Rush,1
29420,80ft Road HRBR Layout,13.02095,77.64317,Weekday,4190,20,5,62,High,2,Weekend,Night,0
35574,80ft Road HRBR Layout,13.02035,77.64328,Weekday,4190,17,5,28,Low,0,Weekend,Evening Rush,1
22937,80ft Road MS Ramaiah College,13.02752,77.57571,Weekday,4190,12,5,20,Low,0,Weekend,Midday,0
22108,8th Main 3rd Cross  Junction,13.02248,77.63714,Weekday,4190,17,1,106,Very High,3,Weekday,Evening Rush,1
22109,8th Main 3rd Cross  Junction,13.02274,77.6373,Weekday,4190,18,6,94,Very High,3,Weekend,Evening Rush,1
20591,8th Main Kamalanagara,12.99178,77.53856,Weekday,4190,13,4,89,High,2,Weekday,Midday,0
20592,8th Main Kamalanagara,12.99163,77.53839,Weekday,4190,20,5,34,Medium,1,Weekend,Night,0
20593,8th Mile Dasarahalli,13.04622,77.50755,Weekday,4190,8,2,72,High,2,Weekday,Morning Rush,1
20594,8th Mile Dasarahalli,13.04541,77.50795,Weekday,4190,19,5,64,High,2,Weekend,Evening Rush,1
35570,8th Mile Dasarahalli,13.0451,77.50748,Weekday,4190,6,0,41,Medium,1,Weekday,Morning Rush,0
35571,8th Mile Dasarahalli,13.04547,77.50553,Weekday,4190,9,1,123,Very High,3,Weekday,Midday,1
35572,8th Mile Dasarahalli,13.04544,77.50547,Weekday,4190,7,6,37,Medium,1,Weekend,Morning Rush,1
38567,8th Mile Dasarahalli,13.04571,77.50753,Weekday,4190,13,0,61,High,2,Weekday,Midday,0
39687,8th Mile Dasarahalli Arrival,13.04556,77.50726,Weekday,4190,9,6,75,High,2,Weekend,Midday,1
37132,9th Block Jayanagara,12.91964,77.5928,Weekday,4190,7,0,124,Very High,3,Weekday,Morning Rush,1
22949,9th Block Jayanagara (22nd Main),12.91969,77.59144,Weekday,4190,19,0,108,Very High,3,Weekday,Evening Rush,1
22950,9th Block Jayanagara (40th Cross),12.91969,77.59247,Weekday,4190,11,3,26,Low,0,Weekday,Midday,0
29424,9th Stone NICE Road,12.88789,77.48532,Weekday,4190,11,3,58,Medium,1,Weekday,Midday,0
37131,9th block Jayanagara,12.91957,77.59284,Weekday,4190,15,4,90,High,2,Weekday,Midday,0
29453,A G Export Garments Nelamangala,13.12046,77.39237,Weekday,4190,9,1,136,Very High,3,Weekday,Midday,1
35538,A G Export Garments Nelamangala,13.12048,77.39242,Weekday,4190,11,2,32,Medium,1,Weekday,Midday,0
21652,A P J Abdul Kalam Statue,12.97972,77.65404,Weekday,4190,18,2,121,Very High,3,Weekday,Evening Rush,1
21653,A P J Abdul Kalam Statue,12.97977,77.65418,Weekday,4190,20,2,22,Low,0,Weekday,Night,0
38855,ADMC Quarters Office,13.0053,77.64117,Weekday,4190,7,0,48,Medium,1,Weekday,Morning Rush,1
29450,AECS Dental College,12.86536,77.59832,Weekday,4190,15,3,66,High,2,Weekday,Midday,0
35541,AECS Dental College,12.8654,77.59836,Weekday,4190,17,1,106,Very High,3,Weekday,Evening Rush,1
20595,AECS Layout Cross,12.96495,77.71832,Weekday,4190,7,0,94,Very High,3,Weekday,Morning Rush,1
20596,AECS Layout Cross,12.96511,77.71827,Weekday,4190,15,6,20,Low,0,Weekend,Midday,0
29451,AECS Layout Singasandra,12.88306,77.64991,Weekday,4190,19,3,142,Very High,3,Weekday,Evening Rush,1
35540,AECS Layout Singasandra,12.88286,77.65018,Weekday,4190,9,3,91,Very High,3,Weekday,Midday,1
29461,AGS Layout,12.95173,77.47919,Weekday,4190,19,5,33,Medium,1,Weekend,Evening Rush,1
35533,AGS Layout,12.95163,77.47921,Weekday,4190,20,5,30,Low,0,Weekend,Night,0
29462,AGS Layout Arehalli,12.91246,77.53706,Weekday,4190,21,1,76,High,2,Weekday,Night,0
35532,AGS Layout Arehalli,12.91246,77.537,Weekday,4190,20,6,30,Low,0,Weekend,Night,0
23014,AGS Layout Cross,12.91347,77.54088,Weekday,4190,13,1,42,Medium,1,Weekday,Midday,0
24342,AGS Layout Cross,12.91353,77.54088,Weekday,4190,19,1,82,High,2,Weekday,Evening Rush,1
29463,AIR FORCE Quarters,13.05899,77.52141,Weekday,4190,12,0,90,High,2,Weekday,Midday,0
35531,AIR FORCE Quarters,13.05895,77.52139,Weekday,4190,17,4,81,High,2,Weekday,Evening Rush,1
29474,AL Ameen Residential School,13.06983,77.80832,Weekday,4190,14,1,28,Low,0,Weekday,Midday,0
35521,AL Ameen Residential School,13.0696,77.80836,Weekday,4190,19,5,100,Very High,3,Weekend,Evening Rush,1
37331,AL-Agro Factory,12.98777,77.88168,Weekday,4190,13,4,24,Low,0,Weekday,Midday,0
37332,AL-Agro Factory,12.98697,77.88059,Weekday,4190,10,0,87,High,2,Weekday,Midday,0
23060,AMC College,12.82938,77.58759,Weekday,4190,21,4,75,High,2,Weekday,Night,0
24134,AMC College,12.83005,77.58779,Weekday,4190,18,2,72,High,2,Weekday,Evening Rush,1
29549,APCO Factory,12.76209,77.47036,Weekday,4190,7,6,28,Low,0,Weekend,Morning Rush,1
35454,APCO Factory,12.76195,77.47044,Weekday,4190,20,4,79,High,2,Weekday,Night,0
29550,APMC Yard,13.10494,77.44396,Weekday,4190,10,1,68,High,2,Weekday,Midday,0
35453,APMC Yard,13.10488,77.44388,Weekday,4190,13,0,41,Medium,1,Weekday,Midday,0
23134,APS College,12.78276,77.49966,Weekday,4190,15,6,21,Low,0,Weekend,Midday,0
23632,APS College,12.78272,77.4995,Weekday,4190,14,1,49,Medium,1,Weekday,Midday,0
39681,APS College Cross,12.78284,77.49959,Weekday,4190,17,6,37,Medium,1,Weekend,Evening Rush,1
39682,APS College Cross,12.78637,77.50249,Weekday,4190,17,5,11,Low,0,Weekend,Evening Rush,1
38962,ARMY PUBLIC SCHOOL (Parachute Regiment),13.01651,77.58615,Weekday,4190,17,2,133,Very High,3,Weekday,Evening Rush,1
38947,ARMY Public School ASC Center,12.96467,77.61808,Weekday,4190,18,5,50,Medium,1,Weekend,Evening Rush,1
23190,ASC Centre,12.96239,77.61892,Weekday,4190,14,1,95,Very High,3,Weekday,Midday,0
23930,ASC Centre,12.96248,77.61903,Weekday,4190,18,1,97,Very High,3,Weekday,Evening Rush,1
29426,Aane Kempegowdana Doddy,12.86158,77.33503,Weekday,4190,20,1,22,Low,0,Weekday,Night,0
35856,Aane Kempegowdana Doddy,12.86152,77.33503,Weekday,4190,18,3,97,Very High,3,Weekday,Evening Rush,1
23396,Abbaiah Circle Sarjapura,12.85975,77.79411,Weekday,4190,6,2,75,High,2,Weekday,Morning Rush,0
23418,Abbaiah Circle Sarjapura,12.8597,77.79409,Weekday,4190,14,6,60,Medium,1,Weekend,Midday,0
29427,Abbaiah Layout,12.97933,77.68082,Weekday,4190,12,1,65,High,2,Weekday,Midday,0
35565,Abbaiah Layout,12.97928,77.68081,Weekday,4190,14,1,37,Medium,1,Weekday,Midday,0
29428,Abbanakuppe,12.77419,77.4095,Weekday,4190,13,6,51,Medium,1,Weekend,Midday,0
35564,Abbanakuppe,12.77413,77.40941,Weekday,4190,6,5,56,Medium,1,Weekend,Morning Rush,0
29429,Abbanakuppe Colony,12.77126,77.41627,Weekday,4190,17,5,95,Very High,3,Weekend,Evening Rush,1
35563,Abbanakuppe Colony,12.77123,77.41632,Weekday,4190,13,1,73,High,2,Weekday,Midday,0
30920,Abbanakuppe KEB,12.78775,77.42874,Weekday,4190,13,0,65,High,2,Weekday,Midday,0
33404,Abbanakuppe KEB,12.78773,77.42856,Weekday,4190,20,3,50,Medium,1,Weekday,Night,0
29430,Abbigere,13.07696,77.52587,Weekday,4190,16,5,35,Medium,1,Weekend,Midday,0
35562,Abbigere,13.07692,77.52589,Weekday,4190,8,0,19,Low,0,Weekday,Morning Rush,1
29431,Abbigere Cross,13.07068,77.52978,Weekday,4190,6,3,66,High,2,Weekday,Morning Rush,0
35561,Abbigere Cross,13.07069,77.52981,Weekday,4190,13,1,39,Medium,1,Weekday,Midday,0
29432,Abbigere Dinne,13.07106,77.52803,Weekday,4190,8,2,145,Very High,3,Weekday,Morning Rush,1
35560,Abbigere Dinne,13.07099,77.52801,Weekday,4190,8,4,139,Very High,3,Weekday,Morning Rush,1
29433,Abbigere Gate,13.07248,77.52353,Weekday,4190,6,4,55,Medium,1,Weekday,Morning Rush,0
35559,Abbigere Gate,13.07243,77.52355,Weekday,4190,16,1,65,High,2,Weekday,Midday,0
22965,Acharya College,13.00234,77.48822,Weekday,4190,10,5,28,Low,0,Weekend,Midday,0
22966,Acharya College,13.00238,77.48823,Weekday,4190,15,0,97,Very High,3,Weekday,Midday,0
29434,Acharya Institute of Technology,13.08354,77.4841,Weekday,4190,12,2,16,Low,0,Weekday,Midday,0
35558,Acharya Institute of Technology,13.08351,77.48416,Weekday,4190,15,6,69,High,2,Weekend,Midday,0
29435,Achyuthanagara Gate,13.0842,77.48657,Weekday,4190,14,3,86,High,2,Weekday,Midday,0
35557,Achyuthanagara Gate,13.08416,77.48656,Weekday,4190,17,1,94,Very High,3,Weekday,Evening Rush,1
29437,Adakamaranahalli (Magadi Road),12.94707,77.31056,Weekday,4190,12,2,17,Low,0,Weekday,Midday,0
39571,Adakamaranahalli (Magadi Road),12.94705,77.31051,Weekday,4190,14,2,64,High,2,Weekday,Midday,0
29438,Adakamaranahalli Cross (Magadi Road),12.95445,77.30923,Weekday,4190,13,5,54,Medium,1,Weekend,Midday,0
35554,Adakamaranahalli Cross (Magadi Road),12.9544,77.30926,Weekday,4190,17,3,79,High,2,Weekday,Evening Rush,1
21639,Adakimaranahalli,13.07065,77.4449,Weekday,4190,7,2,33,Medium,1,Weekday,Morning Rush,1
29439,Adakimaranahalli,13.07028,77.44482,Weekday,4190,6,5,20,Low,0,Weekend,Morning Rush,0
29442,Adarshanagara,13.07619,77.42374,Weekday,4190,21,0,87,High,2,Weekday,Night,0
35552,Adarshanagara,13.07621,77.42378,Weekday,4190,12,5,28,Low,0,Weekend,Midday,0
29443,Adarshanagara Water Tank,13.07467,77.42052,Weekday,4190,12,0,69,High,2,Weekday,Midday,0
29444,Adde Vishwanathapura,13.18672,77.55112,Weekday,4190,19,0,88,High,2,Weekday,Evening Rush,1
35550,Adde Vishwanathapura,13.18669,77.5511,Weekday,4190,13,6,25,Low,0,Weekend,Midday,0
29445,Addiganahalli,13.17297,77.56958,Weekday,4190,10,6,23,Low,0,Weekend,Midday,0
35549,Addiganahalli,13.17292,77.56963,Weekday,4190,8,2,91,Very High,3,Weekday,Morning Rush,1
22981,Addiganahalli Extension,13.1728,77.57126,Weekday,4190,17,5,80,High,2,Weekend,Evening Rush,1
31347,Addiganahalli Extension 1,13.17288,77.57123,Weekday,4190,13,6,21,Low,0,Weekend,Midday,0
22982,Adigara Kallahalli,12.8252,77.80356,Weekday,4190,11,0,27,Low,0,Weekday,Midday,0
23391,Adigara Kallahalli,12.82534,77.8033,Weekday,4190,16,6,33,Medium,1,Weekend,Midday,0
29446,Adigondanahalli,12.81457,77.75116,Weekday,4190,8,3,36,Medium,1,Weekday,Morning Rush,1
35548,Adigondanahalli,12.81456,77.75126,Weekday,4190,6,2,62,High,2,Weekday,Morning Rush,0
25578,Adigondanahalli Junction,12.80604,77.74276,Weekday,4190,8,5,49,Medium,1,Weekend,Morning Rush,1
32772,Adigondanahalli Junction,12.80604,77.74266,Weekday,4190,10,5,39,Medium,1,Weekend,Midday,0
37049,Adishwara Bombay Dying,13.02126,77.55609,Weekday,4190,20,4,61,High,2,Weekday,Night,0
39104,Aditya Bakery,12.90354,77.51078,Weekday,4190,19,5,101,Very High,3,Weekend,Evening Rush,1
39105,Aditya Bakery,12.90351,77.51069,Weekday,4190,8,2,121,Very High,3,Weekday,Morning Rush,1
38161,Adrsha Savana,13.20862,77.60376,Weekday,4190,6,3,37,Medium,1,Weekday,Morning Rush,0
38162,Adrsha Savana,13.20859,77.60381,Weekday,4190,10,5,65,High,2,Weekend,Midday,0
29448,Adugodi,12.94387,77.6077,Weekday,4190,15,4,25,Low,0,Weekday,Midday,0
35544,Adugodi,12.94397,77.60748,Weekday,4190,12,2,25,Low,0,Weekday,Midday,0
35546,Adugodi,12.94384,77.60761,Weekday,4190,20,0,44,Medium,1,Weekday,Night,0
22990,Adugodi Police Station,12.93897,77.60976,Weekday,4190,19,1,39,Medium,1,Weekday,Evening Rush,1
23802,Adugodi Police Station,12.93985,77.6095,Weekday,4190,12,1,82,High,2,Weekday,Midday,0
22992,Aduru,13.05553,77.7058,Weekday,4190,16,0,61,High,2,Weekday,Midday,0
22993,Aduru,12.73303,77.65433,Weekday,4190,14,6,63,High,2,Weekend,Midday,0
22994,Aduru,12.73301,77.6544,Weekday,4190,20,5,14,Low,0,Weekend,Night,0
22995,Aduru,13.05535,77.70589,Weekday,4190,20,1,92,Very High,3,Weekday,Night,0
36662,Aduru,12.73318,77.657,Weekday,4190,15,6,39,Medium,1,Weekend,Midday,0
29452,Aerospace Bagalur,13.17289,77.73066,Weekday,4190,15,1,31,Medium,1,Weekday,Midday,0
35539,Aerospace Bagalur,13.17277,77.73058,Weekday,4190,17,0,87,High,2,Weekday,Evening Rush,1
29454,Agalakote,13.21292,77.73612,Weekday,4190,18,5,64,High,2,Weekend,Evening Rush,1
35537,Agalakote,13.21287,77.73615,Weekday,4190,8,5,92,Very High,3,Weekend,Morning Rush,1
23002,Agara,12.8429,77.4863,Weekday,4190,20,6,7,Low,0,Weekend,Night,0
23003,Agara,12.84479,77.48713,Weekday,4190,21,0,75,High,2,Weekday,Night,0
23004,Agara,12.84477,77.48709,Weekday,4190,12,6,51,Medium,1,Weekend,Midday,0
31348,Agara,12.84288,77.48626,Weekday,4190,6,5,11,Low,0,Weekend,Morning Rush,0
21640,Agara Cross,12.84887,77.5221,Weekday,4190,9,5,99,Very High,3,Weekend,Midday,1
21641,Agara Cross,12.84892,77.52196,Weekday,4190,18,2,51,Medium,1,Weekday,Evening Rush,1
20597,Agara Junction,12.92433,77.65073,Weekday,4190,21,6,52,Medium,1,Weekend,Night,0
20598,Agara Junction,12.92452,77.65028,Weekday,4190,9,2,123,Very High,3,Weekday,Midday,1
24000,Agara Junction,12.92464,77.64937,Weekday,4190,19,0,123,Very High,3,Weekday,Evening Rush,1
35769,Agara Junction,12.92468,77.64998,Weekday,4190,10,3,86,High,2,Weekday,Midday,0
38120,Agara Junction,12.92417,77.65075,Weekday,4190,12,1,79,High,2,Weekday,Midday,0
38462,Agara Junction,12.9239,77.65172,Weekday,4190,12,2,88,High,2,Weekday,Midday,0
20599,Agrahara Dasarahalli,12.97853,77.54293,Weekday,4190,18,1,90,High,2,Weekday,Evening Rush,1
20600,Agrahara Dasarahalli,12.97874,77.54121,Weekday,4190,20,4,62,High,2,Weekday,Night,0
29456,Agrahara Layout,13.09837,77.62683,Weekday,4190,16,0,24,Low,0,Weekday,Midday,0
35535,Agrahara Layout,13.09838,77.62671,Weekday,4190,18,3,88,High,2,Weekday,Evening Rush,1
31848,Agrahara Layout Cross,13.10248,77.6277,Weekday,4190,9,4,120,Very High,3,Weekday,Midday,1
31849,Agraharapalya Gate,13.13071,77.45347,Weekday,4190,18,4,126,Very High,3,Weekday,Evening Rush,1
35686,Agraharapalya Gate,13.13065,77.45343,Weekday,4190,21,5,32,Medium,1,Weekend,Night,0
36061,Ainahalli,13.25849,77.38757,Weekday,4190,12,4,49,Medium,1,Weekday,Midday,0
36062,Ainahalli,13.2585,77.38762,Weekday,4190,16,0,75,High,2,Weekday,Midday,0
29464,Air Lines Dhaba Gate,13.22276,77.74085,Weekday,4190,8,2,72,High,2,Weekday,Morning Rush,1
35530,Air Lines Dhaba Gate,13.2225,77.74086,Weekday,4190,11,0,83,High,2,Weekday,Midday,0
39704,Air force Gate Ashwathnagara,13.02684,77.57964,Weekday,4190,17,2,39,Medium,1,Weekday,Evening Rush,1
29465,Airport Trumpet,13.19908,77.65792,Weekday,4190,7,4,24,Low,0,Weekday,Morning Rush,1
35529,Airport Trumpet,13.19905,77.6582,Weekday,4190,15,4,48,Medium,1,Weekday,Midday,0
29467,Ajjagondahalli,12.95709,77.76839,Weekday,4190,18,3,115,Very High,3,Weekday,Evening Rush,1
35527,Ajjagondahalli,12.95705,77.76842,Weekday,4190,19,2,66,High,2,Weekday,Evening Rush,1
29468,Ajjanahalli,12.9167,77.3865,Weekday,4190,14,4,60,Medium,1,Weekday,Midday,0
35526,Ajjanahalli,12.91666,77.38648,Weekday,4190,10,5,39,Medium,1,Weekend,Midday,0
29469,Ajmeer Apartment Neeladri Road,12.84185,77.64673,Weekday,4190,11,1,45,Medium,1,Weekday,Midday,0
35525,Ajmeer Apartment Neeladri Road,12.84181,77.64675,Weekday,4190,17,3,109,Very High,3,Weekday,Evening Rush,1
23022,Akkayammana Betta,13.16162,77.64223,Weekday,4190,17,0,147,Very High,3,Weekday,Evening Rush,1
29470,Akkayammana Betta Huttanahalli Cross,13.16165,77.64227,Weekday,4190,17,3,33,Medium,1,Weekday,Evening Rush,1
29471,Akkipete Devanahalli,13.25413,77.67796,Weekday,4190,17,1,40,Medium,1,Weekday,Evening Rush,1
35524,Akkipete Devanahalli,13.25414,77.67798,Weekday,4190,9,2,45,Medium,1,Weekday,Midday,1
23668,Akkithimmanahalli,12.96186,77.59789,Weekday,4190,19,0,111,Very High,3,Weekday,Evening Rush,1
31349,Akkithimmanahalli,12.96194,77.5978,Weekday,4190,19,0,25,Low,0,Weekday,Evening Rush,1
29472,Akshayanagara,13.02072,77.68339,Weekday,4190,16,2,57,Medium,1,Weekday,Midday,0
35523,Akshayanagara,13.02068,77.68354,Weekday,4190,21,6,65,High,2,Weekend,Night,0
29473,Akshayanagara New Town,12.87657,77.61101,Weekday,4190,15,6,36,Medium,1,Weekend,Midday,0
35522,Akshayanagara New Town,12.87657,77.61166,Weekday,4190,12,3,62,High,2,Weekday,Midday,0
29475,Aladamara Chikkanahalli Cross,12.72813,77.64802,Weekday,4190,17,4,141,Very High,3,Weekday,Evening Rush,1
35520,Aladamara Chikkanahalli Cross,12.72807,77.648,Weekday,4190,14,6,25,Low,0,Weekend,Midday,0
29476,Aladamara Laggere,13.01327,77.52095,Weekday,4190,12,3,28,Low,0,Weekday,Midday,0
35519,Aladamara Laggere,13.01332,77.52098,Weekday,4190,19,6,33,Medium,1,Weekend,Evening Rush,1
21451,Aladamara Papareddypalya,12.97525,77.50947,Weekday,4190,6,1,59,Medium,1,Weekday,Morning Rush,0
